"datetime","sunrise","sunset","hour_day","day","month","hour_sunrise","hour_sunset","is_sunrise_period","is_sunset_period","is_noon","is_light_time","radiation","temperature","pressure","humidity","winddirection","speed"
"10/1/2016 00:00:19","10/1/2016 06:13:00","10/1/2016 18:11:00",0.0,1,10,6.0,18.0,0,0,0,0,1.27,48.0,30.46,79.0,137.68,11.25
"10/1/2016 00:20:20","10/1/2016 06:13:00","10/1/2016 18:11:00",0.0,1,10,6.0,18.0,0,0,0,0,1.29,49.0,30.46,77.0,154.23,7.87
"10/1/2016 00:30:18","10/1/2016 06:13:00","10/1/2016 18:11:00",0.0,1,10,6.0,18.0,0,0,0,0,1.27,49.0,30.45,84.0,151.91,9.0
"10/1/2016 00:35:22","10/1/2016 06:13:00","10/1/2016 18:11:00",0.0,1,10,6.0,18.0,0,0,0,0,1.24,48.0,30.45,88.0,180.23,10.12
"10/1/2016 00:40:24","10/1/2016 06:13:00","10/1/2016 18:11:00",0.0,1,10,6.0,18.0,0,0,0,0,1.25,48.0,30.45,92.0,151.13,10.12
"10/1/2016 00:45:18","10/1/2016 06:13:00","10/1/2016 18:11:00",0.0,1,10,6.0,18.0,0,0,0,0,1.26,48.0,30.45,94.0,151.16,7.87
"10/1/2016 00:50:21","10/1/2016 06:13:00","10/1/2016 18:11:00",0.0,1,10,6.0,18.0,0,0,0,0,1.24,49.0,30.45,95.0,152.75,13.5
"10/1/2016 00:55:20","10/1/2016 06:13:00","10/1/2016 18:11:00",0.0,1,10,6.0,18.0,0,0,0,0,1.26,49.0,30.45,97.0,146.87,10.12
"10/1/2016 01:00:25","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.24,49.0,30.45,97.0,146.72,11.25
"10/1/2016 01:05:20","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.29,50.0,30.45,98.0,178.42,9.0
"10/1/2016 01:10:21","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.26,50.0,30.45,98.0,109.41,5.62
"10/1/2016 01:15:25","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.27,50.0,30.45,98.0,184.21,4.5
"10/1/2016 01:20:21","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.3,50.0,30.44,99.0,157.74,5.62
"10/1/2016 01:25:23","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.26,50.0,30.44,99.0,145.18,10.12
"10/1/2016 01:30:30","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.29,51.0,30.44,99.0,127.53,7.87
"10/1/2016 01:35:24","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.28,51.0,30.44,99.0,148.18,6.75
"10/1/2016 01:40:23","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.26,51.0,30.44,100.0,129.03,9.0
"10/1/2016 01:45:26","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.28,51.0,30.44,100.0,141.06,11.25
"10/1/2016 01:50:26","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.28,51.0,30.44,100.0,148.13,7.87
"10/1/2016 01:55:23","10/1/2016 06:13:00","10/1/2016 18:11:00",1.0,1,10,6.0,18.0,0,0,0,0,1.26,51.0,30.44,100.0,126.55,7.87
"10/1/2016 02:00:23","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.3,51.0,30.44,100.0,148.95,3.37
"10/1/2016 02:05:27","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.23,50.0,30.43,100.0,102.17,12.37
"10/1/2016 02:10:24","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.26,50.0,30.44,100.0,135.34,9.0
"10/1/2016 02:15:19","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.28,50.0,30.43,100.0,131.57,6.75
"10/1/2016 02:20:31","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.25,50.0,30.43,100.0,129.94,3.37
"10/1/2016 02:25:19","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.28,50.0,30.43,100.0,182.2,5.62
"10/1/2016 02:30:29","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.28,50.0,30.43,100.0,136.03,9.0
"10/1/2016 02:35:24","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.32,50.0,30.43,100.0,141.13,4.5
"10/1/2016 02:40:22","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.28,50.0,30.43,100.0,145.65,6.75
"10/1/2016 02:45:26","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.27,50.0,30.43,100.0,142.79,4.5
"10/1/2016 02:50:19","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.29,50.0,30.43,100.0,125.55,9.0
"10/1/2016 02:55:19","10/1/2016 06:13:00","10/1/2016 18:11:00",2.0,1,10,6.0,18.0,0,0,0,0,1.28,50.0,30.43,100.0,117.12,7.87
"10/1/2016 03:00:24","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.31,50.0,30.43,100.0,142.99,2.25
"10/1/2016 03:05:19","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.26,50.0,30.43,100.0,132.66,9.0
"10/1/2016 03:10:23","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.29,50.0,30.43,100.0,134.16,13.5
"10/1/2016 03:15:19","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.27,51.0,30.43,100.0,141.29,4.5
"10/1/2016 03:20:21","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.26,51.0,30.43,100.0,132.21,2.25
"10/1/2016 03:25:22","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.29,50.0,30.43,100.0,85.42,0.0
"10/1/2016 03:30:19","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.26,50.0,30.43,100.0,125.83,4.5
"10/1/2016 03:35:25","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.27,50.0,30.43,100.0,131.05,7.87
"10/1/2016 03:40:20","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.26,50.0,30.43,100.0,69.18,2.25
"10/1/2016 03:45:27","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.24,50.0,30.43,100.0,198.94,4.5
"10/1/2016 03:50:20","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.29,50.0,30.43,100.0,158.26,4.5
"10/1/2016 03:55:19","10/1/2016 06:13:00","10/1/2016 18:11:00",3.0,1,10,6.0,18.0,0,0,0,0,1.27,50.0,30.43,100.0,133.19,9.0
"10/1/2016 04:00:25","10/1/2016 06:13:00","10/1/2016 18:11:00",4.0,1,10,6.0,18.0,0,0,0,0,1.26,50.0,30.43,100.0,125.96,12.37
"10/1/2016 04:05:23","10/1/2016 06:13:00","10/1/2016 18:11:00",4.0,1,10,6.0,18.0,0,0,0,0,1.26,50.0,30.43,100.0,135.42,5.62
"10/1/2016 04:10:21","10/1/2016 06:13:00","10/1/2016 18:11:00",4.0,1,10,6.0,18.0,0,0,0,0,1.25,50.0,30.43,100.0,126.36,5.62
"10/1/2016 04:15:20","10/1/2016 06:13:00","10/1/2016 18:11:00",4.0,1,10,6.0,18.0,0,0,0,0,1.27,50.0,30.43,100.0,123.15,10.12
"10/1/2016 04:20:23","10/1/2016 06:13:00","10/1/2016 18:11:00",4.0,1,10,6.0,18.0,0,0,0,0,1.27,50.0,30.43,100.0,117.66,12.37
